student_id,age,gender,study_hours,sleep_hours,daily_screen_time,attendance_percent,exam_score,city
S001,20,Male,3.5,7.0,4.0,88,78,Delhi
S002,21,Female,4.2,6.5,5.5,92,84,Mumbai
S003,19,Female,2.8,7.8,6.1,75,69,Bengaluru
S004,22,Male,5.0,5.9,3.2,95,91,Chennai
S005,20,Female,,6.8,4.8,82,76,Pune
S006,23,Male,3.1,,7.5,68,64,Hyderabad
S007,21,Female,4.8,7.2,3.9,90,88,Kolkata
S008,20,Male,2.2,8.1,6.8,70,61,Delhi
S009,22,Female,5.5,6.0,,97,93,Mumbai
S010,19,Male,3.0,7.4,5.0,,72,Jaipur
S011,21,Female,4.0,6.9,4.3,86,,Lucknow
S012,20,Male,2.5,7.6,6.4,74,66,Chandigarh
